queue,developer,project,submitted,mw,end_use,end_use_reading,asset_class,type_fuel,county,state,zone,poi_raw,poi_names,poi_kv,poi_shape,utility,ato,status,in_service
1753,New York State Office of General Services,"New York State Dept. of Health Lab (Harriman Campus, Albany NY)",2025-11-04,20,RD,research and development,other,Load Interconnection,Albany,NY,F,"Woodlawn-State Campus #12 115kV feeder, and Menands-State Campus #15-115kV feeder.",Woodlawn | State Campus feeder | Menands | State Campus,115 | 115 | 115 | 115,listed,National Grid,,4,01-2030
1754,EKG Group LLC,Kenwood Tech Center,2025-11-11,180,DAT,data centre,datacentre,Load Interconnection,Albany,NY,F,Albany?Bethlehem 115 kV Line #18,Albany?Bethlehem,115,line_end,National Grid,,4,12-2028
1755,Research Foundation of SUNY,Site Master Plan Expansion Phase I,2025-12-18,45,RD,research and development,other,Load Interconnection,Albany,NY,F,Patroon Creek and McKnownville,Patroon Creek | McKnownville, | ,line_end,National Grid,,4,01-2029
1756,Research Foundation of SUNY,Site Master Plan Expansion Phase II,2025-12-18,90,,,,Load Interconnection,Albany,NY,F,Patroon Creek and McKnownville,Patroon Creek | McKnownville, | ,line_end,National Grid,,0,
1757,NY-Route 9W LLC,NY-Route 9W Load Center,2026-01-07,1000,,,,Load Interconnection,Greene,NY,F,Leeds 345kV substation,Leeds,345,substation,National Grid,,0,
1758,GE Vernova,GE Vernova 2690 Balltown Road High Yard Upgrade,2026-01-29,20,RD,research and development,other,Load Interconnection,Schenectady,NY,F,Rosa Road - General Electric R&D National Grid #14,Rosa Road | General Electric R&D National Grid, | ,line_end,National Grid,,4,06-2028
1759,Robert Grant,Saratoga Expansion,2026-03-25,40,M-CG,co-generation / manufacturing,industrial,Load Interconnection,Saratoga,NY,F,"Adjacent to existing 34.5kV service, a new 115kV substation will be built.",,,,National Grid,,4,01-2028
1760,iPark East Fishkill LLC,iPark 84 Data Center Interconnection,2026-03-25,150,DAT,data centre,datacentre,Load Interconnection,Dutchess,NY,G,New 115kV line from CHG&E East Fishkill Substation,,,,Central Hudson,,5,10-2028
1761,URI TALY,NYISO Load Interconnection Process - Data Center Inquiry,2026-04-12,150,DAT,data centre,datacentre,Load Interconnection,Horseheads,NY,C,Broad Street 34.5 kV Line 93,Broad Street 34.5 kV,,line_end,NYSEG,,1,01-2027
1762,"Highwall Energy, LLC",Highwall Data Center,2026-05-12,400,DAT,data centre,datacentre,Load Interconnection,Clearfield,PA,C,"same POI of Q#1080 (Mineral Basin Solar), connects to NYSEG's L47 line",,,,NYSEG,,4,03-2029
1763,"Patriot Forge PA, LLC",Patriot Forge,2026-05-29,350,DAT,data centre,datacentre,Load Interconnection,Tioga,PA,C,Tap on the NYSEG 345 kV Line 47 (Homer City -Mainesburg 345 kV),,,,NYSEG,,4,02-2029
1764,Titan Mining Corporation,Kilbourne Graphite Concentrator Plant,2026-07-16,15,,,,Load Interconnection,ST LAWRENCE,NY,E,ZINCO 115,ZINCO,,line_end,National Grid,,1,03-2027
NOTES:,,,,,,,,,,,,,,,,,,,
