meeting,page,need_number,needs_on_slide,substations,process_stage,driver,county,requesting_entity,mw,mw_basis,mw_all_values,in_service,is_data_center,text
20250204,16,DOM-2024-0083,DOM-2024-0083,Chandler,Solution Meeting,,,,,,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental McDevitt 230kV Delivery - DEVNeed Number: DOM-2024-0083 Process Stage: Solution Meeting 02/04/2025 Proposed Solution: Connect the new substation by extending a new double circuit 230kV feed from future Chandler Substation. Lines to terminate in a 230kV six-breaker ring arrangement. Estimated Project Cost: $19.8M • Sub
20250204,17,DOM-2024-0084,DOM-2024-0084,,Solution Meeting,Customer Service,Culpeper,DEV,,excluded_unanchored_mw,,01/01/2027,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0084 Process Stage: Solution Meeting 02/04/2025 Previously Presented: Need Meeting 11/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250204,18,DOM-2024-0084,DOM-2024-0084,McDevitt,Solution Meeting,,,,,,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Mt Pony 230kV Delivery - DEVNeed Number: DOM-2024-0084 Process Stage: Solution Meeting 02/04/2025 Proposed Solution: Connect the new substation by extending a new double circuit 230kV feed from future McDevitt Substation. Lines to terminate in a 230kV six-breaker ring arrangement. Estimated Project Cost: $39.8M • Subs
20250204,19,DOM-2024-0084-DNH,DOM-2024-0084-DNH,,Solution Meeting,Do-No-Harm analysis,Culpeper,,,excluded_do_no_harm,,,yes,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Do No Harm Analysis Need Number: DOM-2024-0084-DNH Process Stage: Solution Meeting 02/04/2025 Project Driver: Do-No-Harm analysis Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem 
20250204,20,DOM-2024-0084-DNH,DOM-2024-0084-DNH,,Solution Meeting,,,,,excluded_do_no_harm,,,,TEAC – Dominion Supplemental 02/04/2025 Dominion Transmission Zone: Supplemental Do No Harm Analysis Need Number: DOM-2024-0084-DNH Process Stage: Solution Meeting 02/04/2025 Proposed Solution: 1. Convert lines #2 and #1065 from Remington Sub to Potato Run and Potato Run to Oak Green Sub to 230kV 2. At Oak Green Sub – Expand the station and install a 230kV ring bus with 3 breakers (allow for futur
20250304,3,DOM-2025-0001,DOM-2025-0001,Trabue,Need Meeting,Customer Service,,DEV,,excluded_unanchored_mw,,,,TEAC - Dominion Supplemental 03/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0001 Process Stage: Need Meeting 03/04/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem Statement
20250304,4,DOM-2025-0010,DOM-2025-0010,Enon,Need Meeting,Customer Service,,DEV,,excluded_unanchored_mw,,03/01/2028,,TEAC - Dominion Supplemental 03/04/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0010 Process Stage: Need Meeting 03/04/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem Statement
20250304,6,DOM-2024-0025,DOM-2024-0025,Shawboro Switching | Elizabeth City,Solution Meeting,,,,,excluded_unanchored_mw,,,,"TEAC - Dominion Supplemental 03/04/2025 Dominion Transmission Zone: Supplemental Equipment Material Condition, Performance and Risk Need Number: DOM-2024-0025 Process Stage: Solution Meeting 03/04/2025 Previously Presented: Need Meeting 04/30/2024 Project Driver: Equipment Material Condition, Performance Risk Specific Assumption References: See details on Equipment Material Condition, Performance "
20250304,7,DOM-2024-0025,DOM-2024-0025,,Solution Meeting,,,,,,,,,TEAC - Dominion Supplemental 03/04/2025 Dominion Transmission Zone: Supplemental 230kV Line 2021 – EOL Rebuild Need Number: DOM-2024-0025 Process Stage: Solution Meeting 03/04/2025 Proposed Solution: Rebuild approximately 10.3 miles of Line 2021 between Shawboro and Elizabeth City to current 230kV standards. The normal rating of the line conductor will be 1573 MVA. Estimated Project Cost: $30.6M A
20250401,3,DOM-2025-0001,DOM-2025-0001,Trabue,Solution Meeting,Customer Service,,DEV,,excluded_unanchored_mw,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0001 Process Stage: Solution Meeting 04/01/2025 Previously Presented: Need Meeting 03/04/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250401,4,DOM-2025-0001,DOM-2025-0001,Trabue,Solution Meeting,Customer Service,,,,excluded_unanchored_mw,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Trabue 230kV Delivery - DEV Need Number: DOM-2025-0001 Process Stage: Solution Meeting 3/04/2025 Project Driver: Customer Service Proposed Solution: • Construct a four breaker 230kV ring bus at Trabue substation which is required by Dominion’s Facility Interconnection Requirements for substation loads in excess of 100
20250401,5,DOM-2025-0010,DOM-2025-0010,Enon,Solution Meeting,Customer Service,,DEV,,excluded_unanchored_mw,,03/01/2028,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0010 Process Stage: Solution Meeting 4/1/2024 Previously Presented: Need Meeting 3/4/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Tra
20250401,6,DOM-2025-0010,DOM-2025-0010,,Solution Meeting,Customer Service,,,,,,,,"TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Enon 230kV Delivery - DEV Need Number: DOM-2025-0010 Process Stage: Solution Meeting 4/01/2025 Project Driver: Customer Service Proposed Solution: • Install an 84 MVA transformer #3 and associated high side equipment Estimated Project Cost: Substation: $1.6M Alternatives Considered: None, work is at an existing substa"
20250401,7,DOM-2024-0012,DOM-2024-0012,,Solution Meeting,Customer Service,Caroline,ODEC,,excluded_unanchored_mw,,7/1/2027,yes,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0012 Process Stage: Solution Meeting 4/01/2025 Previously Presented: Need Meeting 02/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s 
20250401,8,DOM-2024-0012,DOM-2024-0012,Ruther Glen,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Ruther Glen 230kV Delivery - DEV Need Number: DOM-2024-0012 Process Stage: Solution Meeting 4/01/2025 Project Driver: Customer Service Proposed Solution: • Construct new Ruther Glen 230kV substation with 6 breaker ring bus configuration. • Cut existing 230kV Line 256 (Ladysmith CT to Four Rivers) and extend double cir
20250401,9,DOM-2023-0055,DOM-2023-0055,,Solution Meeting,Customer Service,Caroline,ODEC,,excluded_unanchored_mw,,7/1/2027,yes,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2023-0055 Process Stage: Solution Meeting 4/01/2025 Previously Presented: Need Meeting 12/05/2023 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s 
20250401,10,DOM-2023-0055,DOM-2023-0055 DOM-2024-0012,Carmel Church,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Carmel Church 230kV Delivery - DEV Need Number: DOM-2023-0055 Process Stage: Solution Meeting 4/01/2025 Project Driver: Customer Service Proposed Solution: • Construct new Carmel Church 230kV substation with 4 breaker ring bus configuration. • Cut existing 230kV Line 256 (Ladysmith CT to Four Rivers) and extend double
20250401,11,DOM-2023-0016,DOM-2023-0016,New Post,Solutions Meeting,Customer Service,Spotsylvania,,,excluded_unanchored_mw,,05/01/2025,yes,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2023-0016 Process Stage: Solutions Meeting 04/01/2025 Previously Presented: Need Meeting 03/07/2023 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’
20250401,12,DOM-2023-0016,DOM-2023-0016,,Solutions Meeting,,,,,,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental New Post 230kV Delivery - DEV Need Number: DOM-2023-0016 Process Stage: Solutions Meeting 10/08/2024 Proposed Solution: • Construct New Post 230 kV switching station with 4-breaker ring bus configuration. • Cut Line #2090 (Fredericksburg – Ladysmith CT) and extend double-circuit 230kV lines for approx. 0.3 miles to Ne
20250401,13,DOM-2023-0053,DOM-2023-0053,,Solutions Meeting,Customer Service,Spotsylvania,ODEC,,excluded_unanchored_mw,,10/01/2025,yes,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Need Number: DOM-2023-0053 Hunters Ridge Lee’s Hill Process Stage: Solutions Meeting 04/01/2025 Previously Presented: Need Meeting 12/05/2023 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Domini
20250401,14,DOM-2023-0053,DOM-2023-0053 DOM-2023-0016,,Solutions Meeting,,,,,,,,,TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Lee’s Hill 230kV Delivery - DEV Need Number: DOM-2023-0053 Process Stage: Solutions Meeting 04/01/2025 Proposed Solution: • Construct Lee’s Hill 230 kV switching station with 4-breaker ring bus configuration. • Cut the existing 230kV Line from Fredericksburg to New Post and extend double-circuit 230kV lines for approx
20250401,15,DOM-2023-0016,DOM-2023-0016 DOM-2023-0053 DOM-2023-0055 DOM-2024-0012,,Solutions Meeting,Do No Harm Analysis,,,,excluded_do_no_harm,,,,"TEAC – Dominion Supplemental 04/01/2025 Dominion Transmission Zone: Supplemental Do No Harm AnalysisNeed Number: DOM-2023-0016, 0053, 0055, 2024-0012 - DNH Meeting Date: 04/01/2025 Process Stage: Solutions Meeting 04/01/2025 Supplemental Project Driver: Do No Harm Analysis Specific Assumption Reference: Customer load request will be evaluated per Dominion’s Facility Interconnections Requirements D"
20250401,16,DOM-2023-0016,DOM-2023-0016,,Solutions Meeting,,,,,excluded_do_no_harm,,,,"TEAC – Dominion Supplemental 04/01/2025 Need Number: DOM-2023-0016, 0053, 0055, 2024-0012 - DNH Meeting Date: 04/01/2025 Process Stage: Solutions Meeting 04/01/2025 Proposed Solution - Phase1 (01/2028): 1. Rebuild approximately 6.5 miles of the existing 230kV Line #2090 between Summit DP and Fredericksburg Sub with double-circuit structures using a higher capacity conductor and associated substati"
20250506,3,DOM-2025-0020,DOM-2025-0020,,Need Meeting,Customer Service,,,,excluded_unanchored_mw,,,yes,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0020 Process Stage: Need Meeting 05/06/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem Statement:
20250506,4,DOM-2024-0044,DOM-2024-0044,Trigon,Need Meeting,Customer Service,Chesterfield,DEV,,excluded_unanchored_mw,,12/1/2030,yes,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0044 Process Stage: Need Meeting 05/06/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem Statement:
20250506,5,DOM-2025-0023,DOM-2025-0023,Parham,Need Meeting,Customer Service,Hanover,DEV,,excluded_unanchored_mw,,,,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2025-0023 Process Stage: Need Meeting 05/06/2025 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem Statement:
20250506,7,DOM-2024-0018,DOM-2024-0018,,Solutions Meeting,Do No Harm Analysis,,,,excluded_do_no_harm,,,,"TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Do No Harm Analysis Need Number: DOM-2024-0018, 0019, 0020, 0040 - DNH Process Stage: Solutions Meeting 05/06/2025 – Do No Harm Previously Presented Solutions – 06/04/2024 and 12/03/2024 Supplemental Project Driver: Do No Harm Analysis Specific Assumption Reference: Customer load request will be evaluated per Dominion’"
20250506,8,DOM-2024-0018,DOM-2024-0018 DOM-2022-0038-DNH DOM-2024-0019 DOM-2024-0020 DOM-2024-0040,White Oak | Chickahominy,Solutions Meeting,,,,,excluded_do_no_harm,,,,"TEAC– Dominion Supplemental 05/06/2025 Need Number: DOM-2024-0018, 0019, 0020, 0040 - DNH Process Stage: Solutions Meeting 05/06/2025 Proposed Solutions: • The majority of Line #286 structures date back to the 1940s and 70s. Rebuild approximately 13.7 miles of existing 230kV Line #286 between Techpark Place and Darbytown. The majority of Line #286 shares structures with other lines, so rebuild wit"
20250506,9,DOM-2024-0023,DOM-2024-0023,Meadowville | Sycamore Springs | Hopewell | Carson | Clubhouse,Do No Harm Solution Meeting,Do No Harm Analysis – Meadowville,,,,excluded_do_no_harm,,,,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Do No Harm Analysis Need Number: DOM-2024-0023 - DNH Process Stage: Do No Harm Solution Meeting 05/06/2025 Previously Presented: Solution Meeting 12/03/2024 Project Driver: Do No Harm Analysis – Meadowville Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection R
20250506,10,DOM-2024-0023,DOM-2024-0023,Sycamore Springs | Hopewell | Carson | Clubhouse,Solution Meeting,Do No Harm – Meadowville,,,,excluded_do_no_harm,,,,TEAC– Dominion Supplemental 05/06/2025 Need Number: DOM-2024-0023 - DNH Process Stage: Solution Meeting 05/06/2025 Project Driver: Do No Harm – Meadowville Proposed Solution: • Reconductor 5.5 miles of existing Lines 211 and 228 from future Sycamore Springs substation to existing Hopewell substation with new 230kV conductor to bring the normal summer rating to 1573 MVA. • Rebuild 28 miles of exist
20250506,11,DOM-2024-0052,DOM-2024-0052 DOM-2024-0054,,Solution Meeting,Customer Service,Mecklenburg,,,excluded_unanchored_mw,,12/01/2028,yes,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0052 DOM-2024-0054 Process Stage: Solution Meeting 05/06/2025 Previously Presented: Need Meeting 07/09/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document a
20250506,12,DOM-2024-0054,DOM-2024-0054,,Solutions Meeting,,,,,,,,,"TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Nebula 230kV Delivery - MEC Need Number: DOM-2024-0054 Process Stage: Solutions Meeting 05/06/2025 Proposed Solution: • A new 230kV line from Cloud to Raines was selected in the PJM 2024 Window 1 and assigned baseline numbers b4000.331, 332 and 333 • Cut, re-route approximately 0.9 mile and loop the future 230kV line #"
20250506,13,DOM-2024-0063-DNH,DOM-2024-0063-DNH DOM-2024-0063,,Solutions Meeting,Do No Harm Analysis,,,,excluded_do_no_harm,,,,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Do No Harm Analysis Need Number: DOM-2024-0063-DNH Process Stage: Solutions Meeting 05/06/2025 Project Driver: Do No Harm Analysis Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s Transmission Planning Criteria. Problem 
20250506,14,DOM-2024-0063-DNH,DOM-2024-0063-DNH,Vint Hill,Solutions Meeting,,,,,excluded_do_no_harm,,,,TEAC– Dominion Supplemental 05/06/2025 Dominion Transmission Zone: Supplemental Do No Harm AnalysisNeed Number: DOM-2024-0063-DNH Process Stage: Solutions Meeting 05/06/2025 Proposed Solution: • String (1) 230 kV transmission line on shared tower structures for approximately 7.0 miles from Devlin to Vint Hill Substation with a minimum summer normal conductor rating of 1572 MVA. • The 230 kV circui
