need_number,substations,studied_with,county,requesting_entity,is_data_center,mw_current,mw_history,revised,in_service,first_seen,last_seen,meetings,latest_stage,driver
DOM-2025-0001,Trabue,,,DEV,,,,,,20250304,20250401,3,Solution Meeting,Customer Service
DOM-2025-0010,Enon,,,DEV,,,,,03/01/2028,20250304,20250401,3,Solution Meeting,Customer Service
DOM-2025-0011,Hibie St,,,DEV,,,,,12/31/2027,20251104,20251104,1,Need Meeting,Customer Service
DOM-2025-0017,Hanover,,,,,,,,12/31/2026,20251104,20260106,3,Solution Meeting,Customer Service
DOM-2025-0020,,,,,yes,,,,,20250506,20250506,1,Need Meeting,Customer Service
DOM-2025-0026,Providence Forge | Turner,,,,,,,,,20250605,20250708,3,Solution Meeting,
DOM-2025-0028,,,,,,,,,,20250605,20250605,1,TEAC Meeting,Operational Flexibility and Efficiency
DOM-2025-0030,Sunset Hill,,,DEV,yes,100.0,20260106:100.0,,"December 31, 2028",20260106,20260707,3,Solution Meeting,Customer Service
DOM-2025-0052,Dahlgren West,,,,yes,300.0,20251008:300.0,,12/1/2030,20251008,20251008,1,Need Meeting,Customer Service
DOM-2025-0073,Correctional | Paper Mill | Harmony Village | Lanexa | Owl Trap | Creek,,,,,,,,,20260106,20260106,1,Need Meeting,
DOM-2025-0086,,,,,,,,,,20260407,20260407,1,Need Meeting,
DOM-2025-0088,Crystal,,,,,,,,,20260407,20260407,1,Need Meeting,
DOM-2025-0100,Darbytown,,,,,,,,,20260407,20260908,2,Cancellation Meeting,Operational Flexibility and Efficiency
DOM-2026-0001,Correctional,,,DEV,,,,,12/31/2028,20260106,20260106,1,Need Meeting,Customer Service
DOM-2026-0015,Simms,,,,yes,296.0,20260407:296.0,,12/01/2029,20260407,20260407,1,Need Meeting,Customer Service
DOM-2026-0016,Pleasant View | Greenwich | Liberty | Clifton | Lanexa | Jefferson Street | Valley | Newport News | Valley Newport News,,,,,,,,,20260407,20260908,3,Solution Meeting,
DOM-2026-0019,Bremo | Fork Union,,,,,,,,,20260508,20260908,3,Solution Meeting,
DOM-2026-0022,,,,,yes,,,,,20260508,20260602,3,Solution Meeting,Operational Flexibility and Efficiency
DOM-2026-0036,CIA | Idylwood,,,,,,,,,20260908,20260908,1,Need Meeting,
DOM-2026-0037,New Road,,,,,,,,,20260908,20260908,1,Need Meeting,Operational Flexibility and Efficiency
DOM-2023-0055,Carmel Church,DOM-2024-0012,Caroline,ODEC,yes,,,,7/1/2027,20250401,20250401,2,Solution Meeting,Customer Service
DOM-2024-0012,Ruther Glen,,Caroline,ODEC,yes,,,,7/1/2027,20250401,20250401,2,Solution Meeting,Customer Service
