region,osm_type,osm_id,name,operator,ref,building,telecom,addr_street,addr_city,addr_country,levels,website,lon,lat
US-VA,way,1227539675,Equinix DC14,Equinix,DC14,,data_center,Infantry Ridge Road,Manassas,,,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-dc-data-centers/dc14,-77.510546,38.803379
US-VA,way,1227612684,Amazon IAD103,Amazon Web Services,IAD103,yes,data_center,,,,,,-77.504088,38.736985
US-VA,way,1227614670,CloudHQ MCC3,CloudHQ,MCC3,yes,data_center,,,,,https://cloudhq.com/location/mcc-campus/,-77.49512,38.715017
US-VA,way,1227777116,Vantage VA13,Vantage Data Centers,VA13,yes,data_center,Vantage Data Plaza,Sterling,,,,-77.440175,39.003213
US-VA,way,1252196797,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.452469,38.904344
US-VA,way,1252196798,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.45475,38.904837
US-VA,way,1252196799,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.490551,38.915903
US-VA,way,1252196800,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.490974,38.914991
US-VA,way,1252196815,Google,Google,,data_center,data_center,,,,,,-77.582514,38.776145
US-VA,way,1252196825,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.517223,38.746153
US-VA,way,1252196826,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.485801,38.921305
US-VA,way,1253282099,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.471078,38.995088
US-VA,way,1269259655,,,,industrial,data_center,Godwin Drive,,,,,-77.503977,38.740385
US-VA,way,1276518679,Amazon IAD214,Amazon Web Services,IAD214,data_center,data_center,Pacific Boulevard,Sterling,,,,-77.435178,38.986532
US-VA,way,1276518684,Aligned IAD03,Aligned,IAD03,data_center,data_center,,,,,,-77.440778,38.988635
US-VA,way,1276518687,Digital Realty IAD55,Digital Realty,IAD55,data_center,data_center,Fitness Court,Sterling,,,,-77.433922,38.992193
US-VA,way,1280340212,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.520238,38.947374
US-VA,way,1280340213,Amazon IAD608,Amazon Web Services,,yes,data_center,Platform Plaza,,,,,-77.417508,38.983528
US-VA,way,1280340214,Amazon Web Services,Amazon Web Services,,yes,data_center,John Marshall Highway,Gainesville,,,,-77.622122,38.802884
US-VA,way,1280340215,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.533101,38.745134
US-VA,way,1280340216,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.654319,38.814593
US-VA,way,1280340217,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.652153,38.816971
US-VA,way,1283698132,Iron Mountain VA-3,Iron Mountain,VA-3,data_center,data_center,,,,,,-77.54515,38.775547
US-VA,way,1287260553,Google,Google,,data_center,data_center,,,,,,-77.585618,38.774438
US-VA,way,1287260554,Amazon Web Services,Amazon Web Services,,yes,data_center,John Marshall Highway,Gainesville,,,,-77.621212,38.801862
US-VA,way,1287260555,Amazon Web Services,Amazon Web Services,,yes,data_center,John Marshall Highway,Gainesville,,,,-77.620476,38.80125
US-VA,way,1287260556,Iron Mountain VA-4,Iron Mountain,,data_center,data_center,,,,,,-77.54223,38.774415
US-VA,way,1287260557,Iron Mountain VA-5,Iron Mountain,,data_center,data_center,,,,,,-77.541185,38.773028
US-VA,way,1287260558,QTS Manassas DC2,Quality Technology Services,,data_center,data_center,,,,,,-77.510882,38.753166
US-VA,way,1287260559,,,,data_center,data_center,,,,,,-77.516694,38.758931
US-VA,way,1292897241,42311 THUNDERBALL DR,True North Data Solutions,,data_center,data_center,Thunderball Drive,Leesburg,,1,,-77.53829,39.04252
US-VA,way,1292897242,42255 THUNDERBALL DR,True North Data Solutions,,data_center,data_center,Thunderball Drive,Leesburg,,1,,-77.539212,39.041653
US-VA,way,1292897243,42254 THUNDERBALL DR,True North Data Solutions,,data_center,data_center,Thunderball Drive,Leesburg,,1,,-77.54084,39.043496
US-VA,way,1301654223,,,,data_center,data_center,,,,,,-77.558984,38.948035
US-VA,way,1301654224,,,,data_center,data_center,,,,,,-77.558868,38.950082
US-VA,way,1304357577,Iron Mountain VA-6,Iron Mountain,,data_center,data_center,Sudley Manor Drive,Manassas,,,,-77.538648,38.768143
US-VA,way,1307454847,,,,yes,data_center,,,,,,-78.37391,36.675694
US-VA,way,1309123033,Equinix Ashburn DC6,Equinix,DC6,data_center,data_center,Filigree Court,Ashburn,,,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-dc-data-centers/dc4,-77.459534,39.015197
US-VA,way,1309123034,Equinix Ashburn DC4,Equinix,DC4,data_center,data_center,Filigree Court,Ashburn,,,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-dc-data-centers/dc4,-77.461954,39.01644
US-VA,way,1317733642,Digital Realty Northern Virginia IAD44,Digital Realty,IAD44,yes,data_center,Efficiency Drive,Sterling,,,https://www.digitalrealty.com/data-centers/americas/northern-virginia/iad44,-77.491398,38.960854
US-VA,way,1317915930,Centersquare Ashburn IAD4 Data Center,Centersquare,IAD4,,data_center,,,,,https://centersquaredc.com/data-centers/northern-virginia#ashburn-iad4,-77.4532,39.021997
US-VA,way,1319637945,,,,data_center,,,,,,,-77.549551,38.949841
US-VA,way,1333205263,,,,data_center,data_center,Inclusion Lane SE,Leesburg,,,,-77.558569,39.066015
US-VA,way,1343764880,Amazon IAD-165,Amazon Web Services,IAD-165,data_center,data_center,EDS Drive,Herndon,,,,-77.427872,38.922767
US-VA,way,1343764881,Amazon IAD-166,Amazon Web Services,IAD-166,data_center,data_center,EDS Drive,Herndon,,,,-77.426543,38.921124
US-VA,way,1343764882,Amazon IAD-167,Amazon Web Services,IAD-167,data_center,data_center,EDS Drive,Herndon,,,,-77.426304,38.92271
US-VA,way,1344901567,,,,yes,data_center,,,,,,-77.460796,39.000448
US-VA,way,1344901568,,,,yes,data_center,,,,,,-77.460787,38.999132
US-VA,way,1344901569,Digital Realty IAD43 (Building S),Digital Realty,IAD43,data_center,data_center,Prentice Drive,Sterling,,,,-77.452703,39.001826
US-VA,way,1344901575,Vantage VA2,Vantage Data Centers,VA2,data_center,data_center,Glenn Drive,Sterling,,,https://vantage-dc.com/data-center-locations/north-america/ashburn-ii-virginia/,-77.430231,38.997949
US-VA,way,1380114462,,,,yes,data_center,,,,,,-77.82628,38.737208
US-VA,way,1380114463,,,,yes,data_center,,,,,,-77.825868,38.738215
US-VA,way,1381994242,CloudHQ LC4,CloudHQ,LC4,yes,data_center,Loudoun County Parkway,Ashburn,,,,-77.471888,39.002347
US-VA,way,1387391200,True North Data Centers,True North Data Solutions,,,data_center,Sycolin Road,,,,,-77.537262,39.043613
US-VA,way,1387391201,TikTok Data Center,True North Data Solutions,,data_center,data_center,Thunderball Drive,Leesburg,,1,,-77.537958,39.044254
US-VA,way,1426663252,Amazon IAD-168,Amazon Web Services,IAD-168,data_center,data_center,EDS Drive,Herndon,,,,-77.424977,38.92314
US-VA,way,1426663253,Amazon IAD-500,Amazon Web Services,IAD-500,data_center,data_center,Redskin Drive,Herndon,,,,-77.42468,38.936464
US-VA,way,1443187163,CloudHQ LC3,CloudHQ,LC3,yes,data_center,Waxpool Road,Ashburn,,,,-77.460425,39.011212
US-VA,way,1443922527,,,,data_center,data_center,,,,,,-77.547334,39.055977
US-VA,way,1443922528,,,,data_center,data_center,,,,,,-77.546734,39.057797
US-VA,way,1443922535,,,,data_center,data_center,,,,,,-77.565121,39.082189
US-VA,way,1447029365,Microsoft Data Center 2,Microsoft,2,yes,data_center,,,,,,-77.583348,38.799972
US-VA,way,1449347339,PowerHouse CTP-02,PowerHouse,,industrial,data_center,,,,,,-77.325687,37.360586
US-VA,way,1460776170,,,,data_center,data_center,,,,,,-77.544785,39.055263
US-VA,way,1460776171,,,,data_center,data_center,,,,,,-77.545995,39.054097
US-VA,way,1460776174,,,,data_center,data_center,,,,,,-77.534801,39.051037
US-VA,way,1464257783,Google,Google,,data_center,data_center,,,,,,-77.586335,38.779305
US-VA,way,1464257784,QTS Manassas DC1,Quality Technology Services,,data_center,data_center,,,,,,-77.51246,38.752545
US-VA,way,1482076328,,,,yes,data_center,,,,,,-77.556168,38.777131
US-VA,way,1482076330,Amazon IAD230,Amazon Web Services,Amazon IAD230,data_center,data_center,Dulles Summit Court,Sterling,,,,-77.449742,38.989461
US-VA,way,1493516619,DC6,Quality Technology Services,,industrial,data_center,Portugee Rd,Sandston,,,,-77.250182,37.485289
US-VA,way,1493516620,DC5,Quality Technology Services,,industrial,data_center,Portugee Rd,Sandston,,,,-77.249109,37.484779
US-VA,way,1493516621,DC4,Quality Technology Services,,industrial,data_center,Portugee Rd,Sandston,,,,-77.247815,37.483918
US-VA,way,1493516623,RIC2 DC1,,,industrial,data_center,Technology Boulevard,Sandston,,,,-77.240062,37.488174
US-VA,way,1493516624,RIC2 DC2,,,industrial,data_center,Technology Boulevard,Sandston,,,,-77.240983,37.487092
US-VA,way,1493516625,RIC2 DC3,,,industrial,data_center,Technology Boulevard,Sandston,,,,-77.241891,37.486065
US-VA,way,1493516626,RIC2 DC5,,,industrial,data_center,Technology Boulevard,Sandston,,,,-77.242984,37.484848
US-VA,way,1493516628,RIC2 DC6,,,construction,data_center,Technology Boulevard,Sandston,,,,-77.243764,37.483901
US-VA,way,1493516629,RIC3 DC1,Quality Technology Services,,construction,data_center,Portugee Road,Sandston,,,,-77.251622,37.480504
US-VA,way,1493516630,RIC3 DC2,Quality Technology Services,,construction,data_center,Portugee Road,Sandston,,,,-77.25221,37.479727
US-VA,way,1493516631,RIC3 DC3,Quality Technology Services,,construction,data_center,Portugee Road,Sandston,,,,-77.252996,37.47851
US-VA,way,1493516632,RIC3 DC5,Quality Technology Services,,construction,data_center,Portugee Road,Sandston,,,,-77.249693,37.477015
US-VA,way,1493516633,RIC3 DC4,Quality Technology Services,,construction,data_center,Portugee Road,Sandston,,,,-77.248977,37.477917
US-VA,way,1509985717,,,,residential,data_center,,,,,,-77.539252,38.76138
US-VA,way,1510517637,,,,yes,data_center,,,,,,-77.539965,38.775174
US-VA,way,1510517638,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.581973,38.789376
US-VA,way,1510517639,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.579686,38.789456
US-VA,way,1510517640,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.497342,38.746667
US-VA,way,1510517641,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.494786,38.747641
US-VA,way,1510517642,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.49301,38.749547
US-VA,way,1518717349,Digital Realty Northern Virginia IAD40,Digital Realty,IAD40,data_center,data_center,Round Table Plaza,Ashburn,,,,-77.468305,39.00627
US-VA,way,1518761569,Vantage VA14,Vantage Data Centers,VA14,yes,data_center,Vantage Data Plaza,Sterling,,,,-77.439385,39.002889
US-VA,way,1521913706,,,,data_center,data_center,Redskin Drive,Herndon,,,,-77.426712,38.935591
US-VA,way,1521913707,,,,data_center,data_center,Redskin Drive,Herndon,,,,-77.425806,38.937292
US-VA,way,1522636324,Equinix Ashburn DC22,Equinix,DC22,data_center,data_center,Beaumeade Circle,Ashburn,,,,-77.453772,39.013391
US-VA,way,1534356804,,,,construction,data_center,,,,,,-77.446428,39.005242
US-VA,way,1534356805,,,,construction,data_center,,,,,,-77.448579,39.003486
US-VA,way,1536981894,Amazon Web Services,Amazon Web Services,,yes,data_center,,,,,,-77.186173,38.741982
US-VA,way,1543296494,Digital Realty Northern Virginia IAD44,Digital Realty,,yes,data_center,Efficiency Drive,Sterling,,,https://www.digitalrealty.com/data-centers/americas/northern-virginia/iad44,-77.490011,38.962625
US-VA,way,1543931282,Digital Realty ACC2,Digital Realty,ACC2,data_center,data_center,Chilum Place,Ashburn,,,,-77.459265,39.02157
US-VA,way,1543931283,Equinix Ashburn DC17,Equinix,DC17,data_center,data_center,Performance Circle,Ashburn,,4,,-77.453419,39.024891
US-VA,way,1544103415,,,,data_center,data_center,,,,,,-77.53574,38.957386
US-VA,way,1544103416,,,,data_center,data_center,,,,,,-77.533192,38.956635
US-VA,way,1544104138,,,,data_center,data_center,,,,,,-77.502614,38.958846
US-VA,way,1544360246,,,,data_center,data_center,,,,,,-77.459739,38.995994
US-VA,way,1544360247,,,,data_center,data_center,,,,,,-77.445984,38.995073
US-VA,way,1544360248,Vantage VA15,,,data_center,data_center,Pacific Boulevard,Sterling,,,,-77.441838,38.999336
US-VA,way,1544360249,QTS Ashburn 2,Quality Technology Services,DC2,data_center,data_center,Randolph Drive,Sterling,,,,-77.448997,38.99816
US-VA,way,1544360250,,,,construction,data_center,,,,,,-77.446773,39.003593
US-VA,way,1555352690,EdgeCore Ashburn AS01,,,data_center,data_center,Maries Road,Sterling,,,https://edgecore.com/locations/ashburn-data-center,-77.414703,39.021789
US-VA,way,1555352691,Amazon Web Services IAD128,Amazon Web Services,IAD128,data_center,data_center,Maries Road,Sterling,,,,-77.416713,39.022964
US-VA,relation,19787207,Microsoft Data Center 1,Microsoft,1,yes,data_center,University Boulevard,Gainesville,,,,-77.582306,38.80237
