asset_id,kind,pwsid,pws_name,primacy_agency,population_served,service_connections,boundary_method,verification_status,data_source,echo_url,overlapping_systems
site-ea6442a17e,site,PA3480046,CITY OF BETHLEHEM,PA,117259,36709,System Sourced,,https://newdata-padep-1.opendata.arcgis.com/maps/fdf53cdeb2ec42b8a9422569f2e9531b/about,https://echo.epa.gov/detailed-facility-report?fid=PA3480046&sys=SDWIS,1
site-cbb04d4f77,site,AR0000465,CENTRAL ARKANSAS WATER,AR,368455,167722,System Sourced,,https://gis.arkansas.gov/product/public-water-systems-polygon/,https://echo.epa.gov/detailed-facility-report?fid=AR0000465&sys=SDWIS,1
site-327a2b4181,site,OK1020902,OKLAHOMA CITY,OK,644000,254388,System Sourced,,https://epa.maps.arcgis.com/home/item.html?id=a933ce92b4944c5c8a6b75a162e865c9,https://echo.epa.gov/detailed-facility-report?fid=OK1020902&sys=SDWIS,1
site-577be20885,site,NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,600000,220882,System Sourced,,https://experience.arcgis.com/experience/0b2b8f5ae71b41e2b483db56eb4ad486,https://echo.epa.gov/detailed-facility-report?fid=NE3105507&sys=SDWIS,1
site-16c72679e4,site,NE3115313,"PAPILLION, CITY OF",NE,35000,13384,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=NE3115313&sys=SDWIS,1
site-a349b988e6,site,PA1510001,PHILADELPHIA WATER DEPARTMENT,PA,1600000,524021,System Sourced,,https://newdata-padep-1.opendata.arcgis.com/maps/fdf53cdeb2ec42b8a9422569f2e9531b/about,https://echo.epa.gov/detailed-facility-report?fid=PA1510001&sys=SDWIS,1
site-d628c8f6da,site,NC0392010,"RALEIGH, CITY OF",NC,640000,200114,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0392010&sys=SDWIS,1
site-c97b6c33fc,site,NC0332010,"DURHAM, CITY OF",NC,322083,97873,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0332010&sys=SDWIS,1
site-ca2b344713,site,SD4600294,SIOUX FALLS,SD,198524,59763,System Sourced,,https://www.arcgis.com/home/item.html?id=24d2a31ef4254e4482131e76cf7df113&sublayer=0,https://echo.epa.gov/detailed-facility-report?fid=SD4600294&sys=SDWIS,1
site-2955039b15,site,SD4600432,MINNEHAHA COMMUNITY WATER CORP,SD,13435,5374,System Sourced,,email from SDARWS,https://echo.epa.gov/detailed-facility-report?fid=SD4600432&sys=SDWIS,1
site-884c90d47c,site,MO6010715,ST LOUIS CITY PWS,MO,304709,95667,System Sourced,,https://services6.arcgis.com/HZXbCkpCSqbGd0vK/ArcGIS/rest/services/Utility_Side___Customer_Side_11_13_24_WFL1/FeatureServer/0,https://echo.epa.gov/detailed-facility-report?fid=MO6010715&sys=SDWIS,1
site-9006d42ef6,site,MO6010716,MO AMERICAN ST LOUIS ST CHARLES COUNTIES,MO,1100000,368054,System Sourced,,https://utility.arcgis.com/usrsvcs/servers/c17b1b447666404dbc1e686d02b506d9/rest/services/LeadServiceLineReplacement/LeadServiceLineReplacement_ComPub/MapServer,https://echo.epa.gov/detailed-facility-report?fid=MO6010716&sys=SDWIS,1
site-ce5f7cb0aa,site,PA1460055,AUDUBON WATER COMPANY,PA,9850,2759,System Sourced,,https://newdata-padep-1.opendata.arcgis.com/maps/fdf53cdeb2ec42b8a9422569f2e9531b/about,https://echo.epa.gov/detailed-facility-report?fid=PA1460055&sys=SDWIS,1
site-683913e87f,site,CT1510011,WATERBURY WATER DEPARTMENT,CT,107271,26915,System Sourced,,https://portal.ct.gov/dph/drinking-water/dws/public-water-supply-map,https://echo.epa.gov/detailed-facility-report?fid=CT1510011&sys=SDWIS,1
site-26f0dd2de5,site,CO0203002,ARAPAHOE CNTY WWWA,CO,31000,3951,System Sourced,,https://www.arcgis.com/home/item.html?id=186d23c71dee48fd84e915924c028b70,https://echo.epa.gov/detailed-facility-report?fid=CO0203002&sys=SDWIS,1
site-53c8267603,site,ID4010016,VEOLIA WATER IDAHO,ID,262920,107316,System Sourced,,,https://echo.epa.gov/detailed-facility-report?fid=ID4010016&sys=SDWIS,1
site-acb928d847,site,UTAH27015,ST GEORGE CITY WATER SYSTEM,UT,105240,33106,System Sourced,,https://dwre-utahdnr.opendata.arcgis.com/datasets/culinarywaterserviceareas/explore,https://echo.epa.gov/detailed-facility-report?fid=UTAH27015&sys=SDWIS,1
site-06ac715493,site,NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,600000,220882,System Sourced,,https://experience.arcgis.com/experience/0b2b8f5ae71b41e2b483db56eb4ad486,https://echo.epa.gov/detailed-facility-report?fid=NE3105507&sys=SDWIS,1
site-c435727233,site,MN1270024,Minneapolis,MN,425300,98065,System Sourced,,https://www.minneapolismn.gov/resident-services/utility-services/water/water-quality/water-quality-lead/plumbing-faucets/lead-service-line-map/,https://echo.epa.gov/detailed-facility-report?fid=MN1270024&sys=SDWIS,1
site-5d8fee5803,site,OK1020418,TULSA,OK,413000,162343,System Sourced,,https://experience.arcgis.com/experience/a6030c6575af4caaad5d5534cf6d5d09/page/Service-Line-Inspection,https://echo.epa.gov/detailed-facility-report?fid=OK1020418&sys=SDWIS,1
site-38f03e829c,site,OK1020418,TULSA,OK,413000,162343,System Sourced,,https://experience.arcgis.com/experience/a6030c6575af4caaad5d5534cf6d5d09/page/Service-Line-Inspection,https://echo.epa.gov/detailed-facility-report?fid=OK1020418&sys=SDWIS,1
site-c1b95fb9ef,site,NY0100198,LATHAM WATER DISTRICT,NY,85590,19750,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY0100198&sys=SDWIS,1
site-d7467c88c2,site,KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,482000,157164,System Sourced,,https://hub.kansasgis.org/maps/KSDOT::rural-water-districts/about ,https://echo.epa.gov/detailed-facility-report?fid=KS2009110&sys=SDWIS,1
site-db51540387,site,UTAH18026,SALT LAKE CITY WATER SYSTEM,UT,381174,86503,System Sourced,,https://dwre-utahdnr.opendata.arcgis.com/datasets/culinarywaterserviceareas/explore,https://echo.epa.gov/detailed-facility-report?fid=UTAH18026&sys=SDWIS,1
site-08dd7f8a94,site,NM3575501,UNIVERSITY OF NEW MEXICO,NM,35000,97,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=NM3575501&sys=SDWIS,1
site-b9a666a189,site,GA1170050,FORSYTH CO. WATER & SEWER,GA,161200,60914,System Sourced,,Layer: Water Service Line Report (ID:0),https://echo.epa.gov/detailed-facility-report?fid=GA1170050&sys=SDWIS,1
site-50d28b3cc2,site,FL4131618,NORTH MIAMI BEACH,FL,180000,33428,System Sourced,,https://gisweb.miamidade.gov/iWASDConnect/,https://echo.epa.gov/detailed-facility-report?fid=FL4131618&sys=SDWIS,2
site-8334c55f15,site,MN1270031,Minnetonka,MN,54474,17140,System Sourced,,https://maps.umn.edu/LSL/,https://echo.epa.gov/detailed-facility-report?fid=MN1270031&sys=SDWIS,1
site-e874778fe7,site,MI0001023,BYRON-GAINES UTILITY AUTHORITY,MI,37464,20736,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=MI0001023&sys=SDWIS,1
site-e447023c05,site,OR4100100,BEND WATER DEPARTMENT,OR,77704,29071,System Sourced,,https://www.arcgis.com/home/item.html?id=7a08d60af7a04c5ca78cdcf71e8f713b,https://echo.epa.gov/detailed-facility-report?fid=OR4100100&sys=SDWIS,1
